iter	Passed	Remaining
400	38552	57588
401	38648	57491
402	38745	57397
403	38837	57294
404	38930	57194
405	39028	57101
406	39117	56994
407	39215	56900
408	39309	56802
409	39405	56705
410	39502	56610
411	39596	56511
412	39694	56418
413	39791	56323
414	39888	56228
415	39994	56146
416	40092	56052
417	40191	55959
418	40284	55859
419	40380	55763
420	40482	55674
421	40573	55572
422	40675	55483
423	40774	55391
424	40876	55303
425	40983	55222
426	41078	55124
427	41164	55014
428	41261	54919
429	41353	54817
430	41453	54726
431	41543	54621
432	41638	54524
433	41733	54426
434	41832	54334
435	41928	54237
436	42033	54152
437	42124	54050
438	42217	53949
439	42314	53855
440	42407	53754
441	42509	53666
442	42599	53561
443	42691	53460
444	42791	53369
445	42886	53271
446	42986	53180
447	43080	53080
448	43175	52983
449	43272	52888
450	43366	52789
451	43467	52699
452	43568	52609
453	43663	52511
454	43756	52411
455	43872	52339
456	43981	52258
457	44096	52183
458	44192	52087
459	44294	51998
460	44389	51899
461	44488	51806
462	44588	51714
463	44685	51619
464	44776	51517
465	44880	51429
466	44969	51324
467	45068	51231
468	45170	51142
469	45263	51041
470	45359	50944
471	45456	50849
472	45542	50741
473	45636	50642
474	45732	50545
475	45829	50450
476	45926	50355
477	46023	50260
478	46114	50157
479	46206	50056
480	46300	49957
481	46405	49871
482	46511	49785
483	46613	49694
484	46704	49593
485	46807	49504
486	46896	49400
487	46997	49309
488	47094	49212
489	47188	49114
490	47281	49014
491	47380	48920
492	47477	48825
493	47571	48726
494	47672	48635
495	47773	48543
496	47870	48448
497	47963	48349
498	48066	48258
499	48162	48162
500	48261	48068
501	48356	47971
502	48446	47868
503	48540	47770
504	48637	47674
505	48729	47573
506	48830	47482
507	48924	47383
508	49019	47285
509	49120	47193
510	49221	47102
511	49311	47000
512	49410	46906
513	49506	46809
514	49602	46712
515	49699	46617
516	49801	46526
517	49896	46429
518	49990	46329
519	50109	46254
520	50208	46161
521	50304	46064
522	50399	45966
523	50496	45871
524	50592	45773
525	50689	45678
526	50786	45582
527	50885	45488
528	50980	45391
529	51103	45318
530	51206	45227
531	51294	45124
532	51396	45031
533	51495	44937
534	51593	44842
535	51690	44747
536	51791	44654
537	51877	44549
538	51976	44454
539	52088	44371
540	52189	44279
541	52293	44189
542	52387	44090
543	52489	43998
544	52587	43902
545	52687	43809
546	52788	43717
547	52886	43621
548	52980	43522
549	53081	43430
550	53177	43333
551	53269	43232
552	53365	43136
553	53463	43041
554	53556	42942
555	53651	42843
556	53747	42747
557	53846	42652
558	53942	42555
559	54042	42462
560	54143	42369
561	54244	42276
562	54343	42181
563	54445	42088
564	54539	41990
565	54642	41898
566	54734	41799
567	54833	41704
568	54928	41606
569	55027	41511
570	55127	41417
571	55218	41317
572	55313	41219
573	55414	41126
574	55521	41037
575	55610	40935
576	55710	40841
577	55806	40744
578	55901	40646
579	56007	40557
580	56109	40464
581	56202	40365
582	56312	40278
583	56416	40187
584	56515	40092
585	56611	39994
586	56711	39900
587	56805	39802
588	56910	39711
589	57006	39614
590	57122	39531
591	57217	39433
592	57326	39345
593	57427	39252
594	57520	39152
595	57621	39058
596	57725	38967
597	57821	38869
598	57923	38776
599	58030	38686
600	58132	38594
601	58221	38492
602	58323	38398
603	58419	38301
604	58514	38203
605	58605	38103
606	58709	38011
607	58808	37915
608	58907	37820
609	59024	37737
610	59121	37640
611	59218	37543
612	59317	37448
613	59421	37356
614	59520	37260
615	59622	37166
616	59726	37074
617	59829	36982
618	59925	36884
619	60028	36791
620	60131	36698
621	60230	36602
622	60325	36504
623	60431	36413
624	60529	36317
625	60632	36224
626	60728	36127
627	60822	36028
628	60915	35929
629	61018	35836
630	61114	35738
631	61206	35638
632	61302	35541
633	61401	35446
634	61498	35349
635	61595	35252
636	61688	35153
637	61786	35057
638	61882	34960
639	61977	34862
640	62075	34766
641	62176	34671
642	62268	34572
643	62374	34480
644	62470	34382
645	62570	34287
646	62666	34190
647	62769	34097
648	62869	34001
649	62962	33903
650	63059	33805
651	63159	33711
652	63255	33613
653	63352	33516
654	63454	33422
655	63550	33325
656	63639	33224
657	63734	33126
658	63833	33030
659	63928	32932
660	64024	32835
661	64122	32739
662	64224	32645
663	64330	32552
664	64426	32455
665	64525	32359
666	64629	32266
667	64729	32170
668	64822	32072
669	64915	31973
670	65011	31875
671	65111	31780
672	65200	31680
673	65303	31586
674	65411	31494
675	65510	31398
676	65605	31300
677	65701	31203
678	65796	31105
679	65895	31009
680	65975	30904
681	66070	30806
682	66173	30712
683	66271	30616
684	66372	30521
685	66481	30430
686	66582	30335
687	66679	30238
688	66782	30144
689	66884	30049
690	66986	29954
691	67086	29859
692	67187	29764
693	67287	29668
694	67388	29573
695	67487	29477
696	67587	29381
697	67685	29285
698	67784	29189
699	67881	29092
700	67976	28994
701	68067	28894
702	68172	28801
703	68273	28705
704	68375	28610
705	68470	28513
706	68562	28414
707	68663	28318
708	68762	28222
709	68868	28129
710	68970	28034
711	69068	27937
712	69167	27841
713	69262	27743
714	69367	27649
715	69462	27551
716	69558	27454
717	69657	27358
718	69751	27260
719	69839	27159
720	69937	27063
721	70033	26965
722	70125	26866
723	70226	26771
724	70328	26676
725	70428	26580
726	70525	26483
727	70624	26387
728	70720	26289
729	70823	26194
730	70920	26097
731	71018	26001
732	71113	25903
733	71215	25808
734	71312	25711
735	71405	25612
736	71505	25516
737	71598	25418
738	71696	25321
739	71798	25226
740	71889	25127
741	71986	25030
742	72080	24932
743	72184	24837
744	72285	24742
745	72385	24645
746	72490	24551
747	72590	24455
748	72693	24360
749	72787	24262
750	72884	24165
751	72977	24067
752	73076	23970
753	73172	23873
754	73270	23776
755	73368	23679
756	73462	23581
757	73560	23485
758	73657	23388
759	73747	23288
760	73848	23192
761	73948	23096
762	74039	22997
763	74140	22902
764	74241	22806
765	74344	22710
766	74444	22614
767	74541	22517
768	74638	22420
769	74741	22325
770	74837	22228
771	74934	22131
772	75028	22032
773	75123	21935
774	75216	21837
775	75318	21741
776	75414	21644
777	75509	21546
778	75607	21449
779	75712	21354
780	75813	21258
781	75909	21161
782	76004	21063
783	76104	20967
784	76204	20871
785	76299	20773
786	76397	20676
787	76499	20581
788	76588	20481
789	76680	20383
790	76775	20285
791	76873	20189
792	76971	20092
793	77064	19994
794	77168	19898
795	77272	19803
796	77366	19705
797	77476	19611
798	77575	19515
799	77677	19419
800	77768	19320
801	77859	19222
802	77954	19124
803	78049	19026
804	78149	18930
805	78248	18834
806	78355	18739
807	78448	18641
808	78544	18543
809	78647	18448
810	78736	18349
811	78819	18248
812	78917	18152
813	79013	18054
814	79108	17957
815	79203	17859
816	79303	17763
817	79396	17665
818	79491	17567
819	79584	17469
820	79681	17372
821	79778	17275
822	79870	17177
823	79963	17079
824	80060	16982
825	80155	16885
826	80256	16788
827	80352	16691
828	80450	16594
829	80553	16498
830	80650	16401
831	80748	16304
832	80846	16208
833	80942	16110
834	81037	16013
835	81136	15916
836	81245	15821
837	81340	15724
838	81436	15627
839	81534	15530
840	81652	15437
841	81755	15341
842	81847	15243
843	81939	15145
844	82031	15047
845	82128	14950
846	82226	14853
847	82322	14755
848	82421	14659
849	82518	14562
850	82615	14465
851	82703	14366
852	82799	14269
853	82890	14170
854	82982	14073
855	83081	13976
856	83183	13880
857	83278	13782
858	83380	13686
859	83477	13589
860	83571	13491
861	83668	13394
862	83764	13297
863	83864	13200
864	83961	13103
865	84054	13006
866	84157	12910
867	84258	12813
868	84358	12716
869	84454	12619
870	84549	12522
871	84652	12425
872	84755	12329
873	84850	12232
874	84951	12135
875	85051	12039
876	85150	11942
877	85248	11845
878	85349	11748
879	85444	11651
880	85540	11554
881	85632	11456
882	85739	11360
883	85828	11262
884	85928	11165
885	86028	11069
886	86139	10973
887	86243	10877
888	86344	10780
889	86451	10685
890	86549	10587
891	86641	10490
892	86735	10392
893	86829	10295
894	86929	10198
895	87025	10101
896	87123	10004
897	87221	9907
898	87320	9810
899	87419	9713
900	87518	9616
901	87620	9519
902	87714	9422
903	87806	9324
904	87908	9227
905	88005	9130
906	88105	9033
907	88206	8937
908	88301	8839
909	88396	8742
910	88509	8646
911	88610	8550
912	88707	8452
913	88810	8356
914	88912	8259
915	89016	8163
916	89109	8065
917	89213	7968
918	89310	7871
919	89408	7774
920	89508	7677
921	89612	7581
922	89746	7486
923	89860	7391
924	89952	7293
925	90048	7196
926	90150	7099
927	90252	7002
928	90345	6904
929	90445	6807
930	90539	6710
931	90632	6612
932	90726	6515
933	90822	6417
934	90920	6320
935	91018	6223
936	91132	6127
937	91228	6030
938	91329	5933
939	91433	5836
940	91529	5738
941	91638	5642
942	91740	5545
943	91832	5447
944	91926	5350
945	92023	5252
946	92128	5156
947	92223	5058
948	92319	4961
949	92423	4864
950	92520	4767
951	92620	4669
952	92714	4572
953	92811	4475
954	92916	4378
955	93011	4280
956	93109	4183
957	93204	4086
958	93313	3989
959	93412	3892
960	93512	3794
961	93598	3697
962	93697	3600
963	93790	3502
964	93886	3405
965	93984	3307
966	94079	3210
967	94178	3113
968	94272	3015
969	94369	2918
970	94464	2821
971	94561	2724
972	94654	2626
973	94757	2529
974	94850	2432
975	94954	2334
976	95051	2237
977	95149	2140
978	95245	2043
979	95348	1945
980	95444	1848
981	95543	1751
982	95635	1653
983	95738	1556
984	95848	1459
985	95942	1362
986	96043	1265
987	96143	1167
988	96241	1070
989	96338	973
990	96443	875
991	96541	778
992	96633	681
993	96729	583
994	96823	486
995	96923	389
996	97028	291
997	97126	194
998	97220	97
999	97314	0
